benchmark,result,exit_code,cpu_time_seconds,system_time_seconds,wall_time_seconds,cpu_percentage,max_memory_kb,avg_memory_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,file_system_inputs,file_system_outputs,socket_messages_sent,socket_messages_received,signals_delivered,page_size_bytes,conflicts,decisions,propagations,restarts,conflict_literals,learnt_literals,max_literals,tot_literals,variables,clauses,original_clauses,learned_clauses_deleted,avg_clause_length,conflicts_per_second,decisions_per_second,propagations_per_second,random_decisions_percentage,preprocessing_time,solving_time,total_literals_in_learned,deleted_literals_percentage,file_size_bytes
7ac7fabd8c078aea420087a0c80e5563-circuit_32in32out_with_400gates_6in6out_dist64_seed1.sanitized,SAT,10,0,0,113.722750000,99,0,0,0,0,1673,203,0,0,0,0,0,4096,140222,246216,6359277,381,1972277,1972277,,1972277,2432,1612800,1612800,13.57,0,1233.01,2165.05,55919.12,0.00,,,1972277,13.57,101001435
7cbc3ce2052ba7c5b501f75af58ab3c4-simon-r22-1.sanitized,TIMEOUT,124,0,0,5000.125731473,99,0,0,0,0,39,9537,0,0,0,0,0,4096,,,,,,,,,3648,12032,12032,,.60,,,,,,,,,193487
79b9e24dd9af185dbec18c9b0a32b1e2-g2-slp-synthesis-aes-top30,SAT,10,0,0,611.972258745,99,0,0,0,0,126,2168,0,0,0,0,0,4096,1605172,3161439,1558349880,3070,102584897,102584897,,102584897,101451,304209,304209,30.24,.66,2622.94,5165.98,2546438.76,0.00,,,102584897,30.24,5635502
7b48f9354d25521bd542d859c0ecdde9-hwmcc17miters-xits-iso-oski15a08b00s.sanitized,TIMEOUT,124,0,0,5000.283786417,99,0,0,0,0,1468,6749,0,0,0,0,0,4096,,,,,,,,,1454067,4368062,4368062,,.66,,,,,,,,,88370058
792495b57d6145fd21d7076eab2ab06a-grs-64-64,UNSAT,20,0,0,4436.918135541,99,0,0,0,0,152,8409,0,0,0,0,0,4096,36647383,85388165,16673165311,50341,1073227695,1073227695,,1073227695,124070,361174,361174,69.39,.68,8259.64,19244.92,3757825.77,0.00,,,1073227695,69.39,7149254
77b7f7bbf75faaee28f473b9941de103-Folkman-185-19924337.sanitized,TIMEOUT,124,0,0,5000.154857019,99,0,0,0,0,42,4335,0,0,0,0,0,4096,,,,,,,,,17019,19874,19874,,1.71,,,,,,,,,387123
778e0fd8f034b7cfd539b1b523ed4c4a-lec_mult_CvW_12x12.sanitized,TIMEOUT,124,0,0,5000.128187436,99,0,0,0,0,39,1843,0,0,0,0,0,4096,,,,,,,,,3426,10231,10231,,.66,,,,,,,,,142169
773f3bd29e202ff700d8b5b459857a2c-Folkman-175-9054056.sanitized,TIMEOUT,124,0,0,5000.121950847,99,0,0,0,0,42,12864,0,0,0,0,0,4096,,,,,,,,,15215,18908,18908,,1.60,,,,,,,,,365842
768956cc8d1f2d18ae1929f6bb26557a-cliquecolouring_n13_k8_c7.sanitized,TIMEOUT,124,0,0,5000.139797876,99,0,0,0,0,39,1676,0,0,0,0,0,4096,,,,,,,,,273,6196,6196,,.08,,,,,,,,,87474
761651d4b6454108403bdefe22720fb3-constraints_18_0.5_2.sanitized,TIMEOUT,124,0,0,5000.120709358,99,0,0,0,0,1727,2749,0,0,0,0,0,4096,,,,,,,,,0,0,0,,0,,,,,,,,,104737460
7429e380834066c206394139c9e1e17d-af-synthesis_stb_50_100_9_sat,SAT,10,0,0,3767.046904162,99,0,0,0,0,124,7187,0,0,0,0,0,4096,4435061,5139908,4602763000,7931,148010326,148010326,,148010326,21894,248470,248470,58.42,.17,1177.33,1364.43,1221849.13,0.00,,,148010326,58.42,5486503
74f145bb935650f5c982d7eec6967945-pcmax-scheduling-m43-38782-385402-SAT.sanitized,TIMEOUT,124,0,0,5000.248674938,99,0,0,0,0,154,6661,0,0,0,0,0,4096,,,,,,,,,38781,362841,362841,,.21,,,,,,,,,7409154
71ec94c233016219e12d671594dc88e5-circuit_32in32out_with_70gates_7in7out_dist128_seed1.sanitized,SAT,10,0,0,1477.963093754,99,0,0,0,0,1181,1564,0,0,0,0,0,4096,1908243,2404241,90899171,3707,48618687,48618687,,48618687,522,1137920,1137920,17.93,0,1291.13,1626.72,61503.00,0.00,,,48618687,17.93,70648884
71a3dd6156463c0c55c4b38394faa753-af-synthesis_stb_50_120_4_sat,SAT,10,0,0,2883.317416296,99,0,0,0,0,142,3795,0,0,0,0,0,4096,3228638,3707534,3322958121,5717,102580465,102580465,,102580465,23931,298758,298758,60.90,.16,1119.76,1285.85,1152477.38,0.00,,,102580465,60.90,6574325
70bfbd054dc9ffd394fab32845b492d3-circuit_32in32out_with_100gates_7in7out_dist64_seed2.sanitized,SAT,10,0,0,464.825676079,99,0,0,0,0,1701,609,0,0,0,0,0,4096,24150,44654,881088,89,271464,271464,,271464,732,1625600,1625600,13.47,0,51.95,96.06,1895.52,0.00,,,271464,13.47,102819598
7083b70c1976162e2693d7a493717ffd-battleship-14-26-sat,SAT,10,0,0,817.900148044,99,0,0,0,0,37,1466,0,0,0,0,0,4096,16550446,29589334,380912396,24574,2712328762,2712328762,,2712328762,364,2562,2562,6.60,.28,20235.28,36177.19,465719.92,0.00,,,2712328762,6.60,46267
72c0d81e16d91bcaed808efcde2e5069-Folkman-175-1251868.sanitized,TIMEOUT,124,0,0,5000.139838006,99,0,0,0,0,42,12615,0,0,0,0,0,4096,,,,,,,,,15225,18038,18038,,1.68,,,,,,,,,348545
6f7a0e1cf94b6b26eafc08a827a692ce-circuit_64in64out_with_64gates_8in5out_dist256_seed1.sanitized,SAT,10,0,0,174.162242366,99,0,0,0,0,494,860,0,0,0,0,0,4096,499711,567989,20296990,1023,9648807,9648807,,9648807,384,507904,507904,40.81,0,2869.22,3261.26,116540.70,0.00,,,9648807,40.81,28340008
70ef2b6bdc4101a0e35cf3d165571fe3-qwh.50.1250.shuffled-as.sat03-1655,TIMEOUT,124,0,0,5000.194166225,99,0,0,0,0,111,7111,0,0,0,0,0,4096,,,,,,,,,16719,331272,331272,,.10,,,,,,,,,4780298
6fc528fc3d0fd5a2c50992feb8bf0357-pcmax-scheduling-m24-17855-226744-SAT.sanitized,TIMEOUT,124,0,0,5000.155999337,99,0,0,0,0,105,11272,0,0,0,0,0,4096,,,,,,,,,17854,226553,226553,,.15,,,,,,,,,4273333
6f0e236c999de0a5e3c46fd3463b1d0d-rook-56-1-1,UNSAT,20,0,0,3141.483765201,99,0,0,0,0,258,4919,0,0,0,0,0,4096,3991834,15712974,2492615277,7084,338452681,338452681,,338452681,181773,705368,705368,29.99,.51,1270.68,5001.76,793451.58,0.00,,,338452681,29.99,13705166
